user_id,username,email,department,job_title,privilege_level,systems_access,last_login,days_inactive,is_active,hire_date,system_count,is_admin,is_power_user,is_service_account,tenure_days,total_events,night_access_count,weekend_access_count,after_hours_count,high_sensitivity_count,failed_login_count,export_count,admin_operation_count,unique_resource_count,identity_sprawl_score,stale_account_flag,new_hire_flag,new_hire_overaccess_flag,privileged_inactive_flag,orphaned_account_flag,service_account_risk,blast_radius_score,sensitive_access_ratio,after_hours_ratio,export_risk_score,admin_activity_score,failed_login_risk
USR00000,pooja.murphy,pooja.murphy@company.com,Executive,Developer,user,AD,2026-02-20,59,True,2024-12-21,1,0,0,0,539,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,1,0,0,0,0,0,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
USR00001,daniel.singh,daniel.singh@company.com,Compliance,Lead,user,Azure_AD|Salesforce,2026-03-31,20,True,2024-04-04,2,0,0,0,800,6.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,5.0,20.0,0,0,0,0,0,0,2,0.2857142857142857,0.5714285714285714,0.0,10.0,0.0
USR00002,kenneth.moore,kenneth.moore@company.com,Sales,Architect,service-account,EMAIL|PROD_DB,2026-04-07,13,True,2025-12-07,2,0,0,1,188,13.0,4.0,2.0,11.0,8.0,5.0,2.0,3.0,6.0,22.0,0,0,0,0,0,1,2,0.5714285714285714,0.7857142857142857,10.0,15.0,20.0
USR00003,sanjana.li,sanjana.li@company.com,Marketing,Director,user,AD|AWS_IAM,2026-04-07,13,True,2023-04-21,2,0,0,0,1149,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0,0,0,0,0,0,2,0.5,0.5,5.0,0.0,0.0
USR00004,diya.anderson,diya.anderson@company.com,Marketing,Administrator,user,ServiceNow|AWS_IAM,2026-04-06,14,True,2022-10-18,2,0,0,0,1334,12.0,0.0,1.0,5.0,7.0,2.0,4.0,2.0,8.0,26.0,0,0,0,0,0,0,2,0.5384615384615384,0.38461538461538464,20.0,10.0,8.0
USR00005,george.lim,george.lim@company.com,Engineering,Administrator,user,GCP,2026-02-22,57,True,2025-05-25,1,0,0,0,384,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,11.0,1,0,0,0,0,0,1,0.0,0.5,5.0,5.0,0.0
USR00006,kevin.ramirez,kevin.ramirez@company.com,Legal,Architect,power-user,Azure_AD|Salesforce|SIEM,2026-03-05,46,True,2024-05-08,3,0,1,0,766,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,21.0,1,0,0,0,0,0,6,0.25,0.0,5.0,5.0,0.0
USR00007,robert.smith,robert.smith@company.com,Operations,Lead,user,VPN|Okta,2026-03-07,44,True,2025-05-25,2,0,0,0,384,10.0,4.0,1.0,8.0,6.0,1.0,2.0,0.0,6.0,22.0,1,0,0,0,0,0,2,0.5454545454545454,0.7272727272727273,10.0,0.0,4.0
USR00008,thomas.iyer,thomas.iyer@company.com,Sales,Administrator,user,AD|AWS_IAM,2026-02-22,57,True,2022-04-27,2,0,0,0,1508,8.0,3.0,0.0,3.0,6.0,0.0,1.0,2.0,4.0,18.0,1,0,0,0,0,0,2,0.6666666666666666,0.3333333333333333,5.0,10.0,0.0
USR00009,aditya.burke,aditya.burke@company.com,Finance,Architect,power-user,SIEM|Azure_AD,2026-03-28,23,True,2024-02-27,2,0,1,0,837,6.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,6.0,22.0,0,0,0,0,0,0,4,0.42857142857142855,0.2857142857142857,5.0,10.0,0.0
